date,fruitId,marketId,highPrice,lowPrice,avgPrice,openPrice,closePrice,volume
2026-03-23,F01,BJ001,11.73,9.29,10.44,10.08,10.22,7613
2026-03-23,F01,CD001,9.71,8.59,9.1,9.51,9.35,41377
2026-03-23,F01,GZ001,11.12,8.7,9.78,9.98,9.5,48645
2026-03-23,F01,HN001,9.74,8.03,9.03,8.7,8.92,21486
2026-03-23,F01,SH001,11.02,9.61,10.32,10.12,10.34,24437
2026-03-23,F01,SZ001,11.28,9.47,10.54,10.64,10.25,32339
2026-03-23,F01,WH001,10.27,8.32,9.18,8.83,9.18,6547
2026-03-23,F01,XA001,10.26,8.31,8.99,9.14,8.89,28403
2026-03-23,F02,BJ001,7.89,6.0,6.88,7.18,7.04,31905
2026-03-23,F02,CD001,7.3,6.01,6.56,6.27,6.49,19633
2026-03-23,F02,GZ001,7.86,6.48,6.88,6.67,6.69,19639
2026-03-23,F02,HN001,6.84,5.7,6.05,6.34,6.15,13942
2026-03-23,F02,SH001,7.9,6.37,6.97,6.82,6.99,11341
2026-03-23,F02,SZ001,8.17,6.83,7.25,7.15,7.08,43839
2026-03-23,F02,WH001,7.6,6.02,6.67,6.42,6.76,39235
2026-03-23,F02,XA001,7.27,5.73,6.57,6.57,6.58,24239
2026-03-23,F03,BJ001,19.84,16.5,18.35,19.1,18.07,23467
2026-03-23,F03,CD001,17.81,14.06,16.43,16.14,16.45,36635
2026-03-23,F03,GZ001,19.49,16.06,17.32,16.59,17.1,12254
2026-03-23,F03,HN001,18.19,14.65,15.96,15.34,15.7,24219
2026-03-23,F03,SH001,21.65,17.84,19.15,19.9,19.2,41334
2026-03-23,F03,SZ001,19.05,16.3,18.13,17.98,17.83,10393
2026-03-23,F03,WH001,19.22,15.51,16.77,16.77,16.57,17817
2026-03-23,F03,XA001,16.96,14.31,16.1,16.1,15.67,17539
2026-03-23,F04,BJ001,7.05,5.96,6.62,6.94,6.52,35246
2026-03-23,F04,CD001,6.38,5.15,6.01,6.24,5.92,34699
2026-03-23,F04,GZ001,7.22,5.94,6.41,6.56,6.36,33453
2026-03-23,F04,HN001,6.8,5.41,6.13,5.83,6.13,15192
2026-03-23,F04,SH001,7.31,5.98,6.9,6.78,6.77,6834
2026-03-23,F04,SZ001,7.08,5.77,6.33,6.61,6.19,20347
2026-03-23,F04,WH001,6.72,5.64,6.09,5.84,6.24,45518
2026-03-23,F04,XA001,6.79,5.59,6.1,6.01,6.18,45369
2026-03-23,F05,BJ001,12.7,10.73,11.4,11.01,11.67,32289
2026-03-23,F05,CD001,10.98,8.58,9.86,9.86,9.91,27163
2026-03-23,F05,GZ001,11.48,10.26,10.92,11.1,10.6,12236
2026-03-23,F05,HN001,11.15,8.77,9.91,10.26,10.0,30573
2026-03-23,F05,SH001,13.57,11.29,12.17,12.43,11.98,19642
2026-03-23,F05,SZ001,11.87,10.21,11.03,11.55,10.96,45142
2026-03-23,F05,WH001,11.3,9.93,10.48,10.63,10.28,47320
2026-03-23,F05,XA001,11.13,8.34,9.72,9.59,9.44,46774
2026-03-23,F05D,BJ001,8.7,6.56,7.59,7.43,7.54,43301
2026-03-23,F05D,CD001,7.55,5.96,6.77,6.97,6.93,20209
2026-03-23,F05D,GZ001,7.7,6.64,7.12,7.16,7.31,36321
2026-03-23,F05D,HN001,7.3,5.71,6.49,6.62,6.44,18211
2026-03-23,F05D,SH001,8.24,6.31,7.41,7.14,7.42,44481
2026-03-23,F05D,SZ001,8.48,6.41,7.46,7.47,7.46,40923
2026-03-23,F05D,WH001,7.36,6.28,6.64,6.62,6.66,17894
2026-03-23,F05D,XA001,7.26,6.2,6.55,6.25,6.68,21208
2026-03-23,F06,BJ001,6.6,5.44,5.86,5.93,5.71,7325
2026-03-23,F06,CD001,5.74,4.57,5.11,5.17,5.09,16147
2026-03-23,F06,GZ001,5.97,4.85,5.41,5.48,5.48,48913
2026-03-23,F06,HN001,5.82,4.4,5.08,5.18,5.05,12798
2026-03-23,F06,SH001,6.33,5.17,5.6,5.57,5.46,6140
2026-03-23,F06,SZ001,6.25,4.97,5.66,5.75,5.59,47968
2026-03-23,F06,WH001,5.8,5.18,5.52,5.27,5.37,43495
2026-03-23,F06,XA001,5.66,4.56,5.05,4.85,5.05,26306
2026-03-23,F07,BJ001,26.41,21.53,24.23,24.56,23.57,21857
2026-03-23,F07,CD001,23.02,20.03,21.35,21.77,21.52,44486
2026-03-23,F07,GZ001,24.97,20.19,22.44,23.24,22.65,12332
2026-03-23,F07,HN001,23.08,18.73,20.71,20.8,21.26,22374
2026-03-23,F07,SH001,26.33,22.29,25.01,26.11,25.12,22467
2026-03-23,F07,SZ001,25.56,22.2,24.18,25.01,23.49,41651
2026-03-23,F07,WH001,24.52,21.2,22.74,23.31,23.16,49572
