id,date,fruitId,marketId,type,priceChangePct,severity,reason,description
ANOM00006,2026-03-22,F01,WH001,price_drop,-43.87,高,替代水果冲击,2026-03-22 WH001市场F01价格异常波动
ANOM00346,2026-03-24,F04,SH001,volume_surge,11.66,低,大客户集中采购,2026-03-24 SH001市场F04价格异常波动
ANOM00357,2026-03-24,F05,CD001,price_drop,-33.35,严重,集中上市供过于求,2026-03-24 CD001市场F05价格异常波动
ANOM00371,2026-03-24,F07,HN001,price_spike,25.69,低,进口通关延迟,2026-03-24 HN001市场F07价格异常波动
ANOM00573,2026-03-25,F12,CD001,price_drop,-59.62,低,替代水果冲击,2026-03-25 CD001市场F12价格异常波动
ANOM00616,2026-03-25,F18,BJ001,supply_shortage,6.55,低,货源紧张,2026-03-25 BJ001市场F18价格异常波动
ANOM00653,2026-03-26,F02,CD001,volume_surge,9.72,低,促销活动,2026-03-26 CD001市场F02价格异常波动
ANOM00716,2026-03-26,F10,SZ001,volume_surge,17.26,中,批发市场搬迁,2026-03-26 SZ001市场F10价格异常波动
ANOM00836,2026-03-27,F05,SZ001,price_drop,-49.89,低,集中上市供过于求,2026-03-27 SZ001市场F05价格异常波动
ANOM01081,2026-03-28,F16,GZ001,supply_shortage,9.5,高,产地封控,2026-03-28 GZ001市场F16价格异常波动
ANOM01312,2026-03-30,F05,BJ001,price_drop,-43.8,高,集中上市供过于求,2026-03-30 BJ001市场F05价格异常波动
ANOM01370,2026-03-30,F12,SH001,price_spike,22.18,高,进口通关延迟,2026-03-30 SH001市场F12价格异常波动
ANOM01633,2026-04-01,F05,GZ001,supply_shortage,8.02,高,产地封控,2026-04-01 GZ001市场F05价格异常波动
ANOM02004,2026-04-03,F11,SZ001,volume_surge,23.49,严重,批发市场搬迁,2026-04-03 SZ001市场F11价格异常波动
ANOM02040,2026-04-03,F16,BJ001,price_spike,29.63,中,主产区受灾减产,2026-04-03 BJ001市场F16价格异常波动
ANOM02219,2026-04-04,F18,HN001,supply_shortage,15.41,中,物流受阻,2026-04-04 HN001市场F18价格异常波动
ANOM02220,2026-04-04,F18,SZ001,volume_surge,11.91,中,促销活动,2026-04-04 SZ001市场F18价格异常波动
ANOM02228,2026-04-04,F19,SZ001,price_spike,23.8,低,进口通关延迟,2026-04-04 SZ001市场F19价格异常波动
ANOM02260,2026-04-05,F03,SZ001,volume_surge,10.88,低,促销活动,2026-04-05 SZ001市场F03价格异常波动
ANOM02349,2026-04-05,F14,CD001,price_drop,-39.43,严重,替代水果冲击,2026-04-05 CD001市场F14价格异常波动
