date,fruitId,marketId,highPrice,lowPrice,avgPrice,openPrice,closePrice,volume
2026-03-22,F01,BJ001,12.31,9.76,10.96,10.58,10.73,7613
2026-03-22,F01,CD001,10.2,9.02,9.56,9.99,9.83,41377
2026-03-22,F01,GZ001,11.67,9.14,10.27,10.48,9.97,48645
2026-03-22,F01,HN001,10.23,8.43,9.48,9.14,9.36,21486
2026-03-22,F01,SH001,11.58,10.1,10.84,10.63,10.86,24437
2026-03-22,F01,SZ001,11.84,9.95,11.07,11.17,10.77,32339
2026-03-22,F01,WH001,10.78,8.73,9.64,9.28,9.64,6547
2026-03-22,F01,XA001,10.77,8.72,9.44,9.59,9.33,28403
2026-03-22,F02,BJ001,8.28,6.3,7.22,7.54,7.39,31905
2026-03-22,F02,CD001,7.66,6.32,6.89,6.59,6.81,19633
2026-03-22,F02,GZ001,8.25,6.8,7.22,7.0,7.02,19639
2026-03-22,F02,HN001,7.18,5.99,6.35,6.66,6.45,13942
2026-03-22,F02,SH001,8.29,6.69,7.32,7.16,7.34,11341
2026-03-22,F02,SZ001,8.58,7.17,7.61,7.5,7.43,43839
2026-03-22,F02,WH001,7.97,6.32,7.0,6.73,7.09,39235
2026-03-22,F02,XA001,7.63,6.02,6.9,6.9,6.91,24239
2026-03-22,F03,BJ001,20.84,17.33,19.27,20.06,18.98,23467
2026-03-22,F03,CD001,18.71,14.77,17.26,16.95,17.28,36635
2026-03-22,F03,GZ001,20.46,16.86,18.18,17.41,17.95,12254
2026-03-22,F03,HN001,19.1,15.39,16.76,16.11,16.49,24219
2026-03-22,F03,SH001,22.73,18.73,20.11,20.9,20.16,41334
2026-03-22,F03,SZ001,20.01,17.12,19.04,18.88,18.72,10393
2026-03-22,F03,WH001,20.19,16.29,17.61,17.61,17.4,17817
2026-03-22,F03,XA001,17.82,15.03,16.91,16.91,16.45,17539
2026-03-22,F04,BJ001,7.4,6.26,6.95,7.29,6.84,35246
2026-03-22,F04,CD001,6.7,5.41,6.31,6.55,6.22,34699
2026-03-22,F04,GZ001,7.58,6.23,6.73,6.88,6.68,33453
2026-03-22,F04,HN001,7.13,5.67,6.43,6.12,6.43,15192
2026-03-22,F04,SH001,7.67,6.27,7.24,7.11,7.1,6834
2026-03-22,F04,SZ001,7.43,6.05,6.64,6.93,6.5,20347
2026-03-22,F04,WH001,7.06,5.93,6.4,6.14,6.55,45518
2026-03-22,F04,XA001,7.13,5.86,6.4,6.3,6.49,45369
2026-03-22,F05,BJ001,9.34,7.89,8.38,8.1,8.58,32289
2026-03-22,F05,CD001,8.06,6.3,7.24,7.24,7.27,27163
2026-03-22,F05,GZ001,8.43,7.54,8.02,8.15,7.78,12236
2026-03-22,F05,HN001,8.19,6.44,7.28,7.53,7.35,30573
2026-03-22,F05,SH001,9.97,8.29,8.94,9.13,8.8,19642
2026-03-22,F05,SZ001,8.72,7.5,8.1,8.48,8.05,45142
2026-03-22,F05,WH001,8.3,7.3,7.7,7.81,7.55,47320
2026-03-22,F05,XA001,8.18,6.13,7.14,7.05,6.93,46774
2026-03-22,F06,BJ001,7.14,5.39,6.23,6.1,6.19,43301
2026-03-22,F06,CD001,6.2,4.89,5.56,5.72,5.69,20209
2026-03-22,F06,GZ001,6.33,5.46,5.85,5.88,6.0,36321
2026-03-22,F06,HN001,5.99,4.69,5.33,5.44,5.29,18211
2026-03-22,F06,SH001,6.77,5.18,6.09,5.87,6.1,44481
2026-03-22,F06,SZ001,6.97,5.26,6.13,6.14,6.13,40923
2026-03-22,F06,WH001,6.05,5.17,5.46,5.44,5.47,17894
