date,fruitId,marketId,highPrice,lowPrice,avgPrice,openPrice,closePrice,volume
2022-01-01,F01,BJ001,14.53,12.87,13.8,14.06,14.08,18813
2022-01-01,F01,CD001,12.59,9.91,11.6,11.42,11.85,42362
2022-01-01,F01,GZ001,14.14,10.89,12.41,12.03,12.45,20845
2022-01-01,F01,HN001,11.67,9.55,10.83,10.85,10.54,11204
2022-01-01,F01,SH001,15.13,12.23,13.2,12.65,13.28,37804
2022-01-01,F01,SZ001,15.18,12.1,13.51,14.07,13.76,23134
2022-01-01,F01,WH001,12.59,11.16,11.88,12.12,12.16,12180
2022-01-01,F01,XA001,12.15,9.96,11.28,10.9,11.42,26943
2022-01-01,F02,BJ001,9.12,8.02,8.65,8.72,8.45,27505
2022-01-01,F02,CD001,8.73,6.87,7.8,7.8,8.02,14158
2022-01-01,F02,GZ001,9.24,8.21,8.69,8.41,8.66,44491
2022-01-01,F02,HN001,8.43,6.58,7.57,7.7,7.64,24105
2022-01-01,F02,SH001,9.58,7.75,8.74,8.59,8.54,7299
2022-01-01,F02,SZ001,9.1,7.31,8.15,8.35,7.95,40303
2022-01-01,F02,WH001,8.0,6.52,7.58,7.26,7.63,33388
2022-01-01,F02,XA001,8.06,7.03,7.41,7.66,7.36,29824
2022-01-01,F03,BJ001,25.57,20.92,22.84,22.64,22.48,48597
2022-01-01,F03,CD001,22.73,18.61,20.37,20.08,20.0,49429
2022-01-01,F03,GZ001,23.66,20.51,21.93,21.12,22.51,20814
2022-01-01,F03,HN001,21.83,16.85,19.28,19.08,18.93,37066
2022-01-01,F03,SH001,25.59,20.82,22.85,23.86,23.17,15730
2022-01-01,F03,SZ001,23.54,19.68,21.52,20.96,21.72,22569
2022-01-01,F03,WH001,22.33,19.03,20.19,20.98,19.72,33159
2022-01-01,F03,XA001,20.47,16.97,19.31,20.05,19.54,16977
2022-01-01,F04,BJ001,8.67,6.9,7.98,7.78,8.11,7047
2022-01-01,F04,CD001,7.54,5.79,6.74,6.68,6.6,13284
2022-01-01,F04,GZ001,8.85,7.17,7.77,7.83,7.96,49666
2022-01-01,F04,HN001,7.55,6.36,6.86,7.02,6.98,44447
2022-01-01,F04,SH001,9.11,7.62,8.25,8.37,8.23,33395
2022-01-01,F04,SZ001,8.47,7.34,8.0,8.25,8.18,45081
2022-01-01,F04,WH001,8.09,6.59,7.29,7.15,7.24,33926
2022-01-01,F04,XA001,7.96,6.6,7.04,7.2,6.83,34279
2022-01-01,F05,BJ001,9.75,8.31,8.76,9.06,8.77,21692
2022-01-01,F05,CD001,8.78,7.38,7.92,8.29,8.1,10378
2022-01-01,F05,GZ001,9.47,8.01,8.67,8.62,8.92,38842
2022-01-01,F05,HN001,9.28,7.72,8.26,8.35,8.44,5522
2022-01-01,F05,SH001,9.04,7.59,8.55,8.74,8.52,35814
2022-01-01,F05,SZ001,9.79,7.95,8.95,8.83,8.89,18885
2022-01-01,F05,WH001,9.41,7.63,8.47,8.72,8.31,20391
2022-01-01,F05,XA001,8.76,7.54,8.14,8.35,8.36,26501
